benchmark,solver,status,cpu time,wallclock time,memory usage,result,exprs-details,syntax-error,adheres,smt-result,exprs-total-size,correct,,,
General-Track/array_search_15.sl,sketch-ac-tmp,timeout (wallclock),14270.5,3600.1,37600000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_15.sl,Sosy Toast,timeout (cpu),3600.05,3598.61,446496,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_15.sl,Sosy Toast Variant 2,timeout (cpu),3600.09,3598.71,446496,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_15.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.06,3599.01,14100000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_15.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.07,3428.4,35400000,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_2.sl,CVC4-1.5-syguscomp2015-v4,complete,0.020996,0.022573,0,correct,(findIdx 26),-,1,sat,26,1,,,
General-Track/array_search_2.sl,stoch-2015-06-23-00-02,complete,0.171973,0.173548,106088,correct,(findIdx 26),-,1,sat,26,1,,,
General-Track/array_search_2.sl,Enumerative Solver,complete,0.030994,0.0319971,0,correct,(findIdx 11),-,1,sat,11,1,,,
General-Track/array_search_2.sl,sketch-ac-tmp,complete,6.12207,3.89257,34700000,correct,(findIdx 11),-,1,sat,11,1,,,
General-Track/array_search_2.sl,sygus-sketch-new-bug-fix,complete,4.73428,3.33425,34400000,correct,(findIdx 11),-,1,sat,11,1,,,
General-Track/array_search_2.sl,Sosy Toast,timeout (wallclock),3590.61,3600.02,2764868,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_2.sl,Sosy Toast Variant 2,timeout (wallclock),3590.3,3600.02,2692420,unsolved,(findIdx -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_search_3.sl,CVC4-1.5-syguscomp2015-v4,complete,0.033994,0.034446,106088,correct,(findIdx 101),-,1,sat,101,1,,,
General-Track/array_search_3.sl,Enumerative Solver,complete,2.96655,2.9667,177916,correct,(findIdx 16),-,1,sat,16,1,,,
